Bus Voltage,Power,Current
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,143.70 mA
4.17 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,144.50 mA
4.16 V,602.00 mW,144.60 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,144.10 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,602.00 mW,144.00 mA
4.16 V,600.00 mW,143.60 mA
4.16 V,600.00 mW,143.40 mA
4.16 V,600.00 mW,143.70 mA
4.16 V,596.00 mW,144.20 mA
4.17 V,600.00 mW,143.90 mA
4.16 V,602.00 mW,144.20 mA
4.16 V,602.00 mW,144.30 mA
4.17 V,602.00 mW,144.00 mA
4.17 V,600.00 mW,143.70 mA
4.16 V,600.00 mW,143.40 mA
4.17 V,602.00 mW,144.10 mA
4.16 V,600.00 mW,144.30 mA
4.16 V,596.00 mW,144.10 mA
4.16 V,602.00 mW,145.00 mA
4.17 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,144.00 mA
4.17 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,602.00 mW,143.50 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,144.00 mA
4.16 V,602.00 mW,144.50 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,143.30 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,143.50 mA
4.17 V,600.00 mW,143.60 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,602.00 mW,144.60 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,602.00 mW,144.40 mA
4.17 V,600.00 mW,144.00 mA
4.16 V,602.00 mW,143.90 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,143.50 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,602.00 mW,144.40 mA
4.16 V,602.00 mW,144.80 mA
4.17 V,600.00 mW,144.40 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,144.60 mA
4.16 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,143.70 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,602.00 mW,144.30 mA
4.16 V,600.00 mW,144.50 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,143.90 mA
4.17 V,602.00 mW,144.40 mA
4.17 V,602.00 mW,144.20 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,143.90 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,143.70 mA
4.16 V,600.00 mW,144.20 mA
4.17 V,602.00 mW,144.30 mA
4.16 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,602.00 mW,144.20 mA
4.16 V,602.00 mW,144.20 mA
4.16 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,144.40 mA
4.17 V,596.00 mW,143.90 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.70 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.40 mA
4.16 V,602.00 mW,145.00 mA
4.17 V,602.00 mW,143.70 mA
4.17 V,600.00 mW,143.70 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.50 mA
4.17 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,143.80 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,144.00 mA
4.16 V,596.00 mW,144.00 mA
4.17 V,600.00 mW,143.80 mA
4.17 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,144.70 mA
4.17 V,602.00 mW,144.20 mA
4.16 V,602.00 mW,144.10 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.40 mA
4.16 V,602.00 mW,144.00 mA
4.16 V,600.00 mW,144.50 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,602.00 mW,144.00 mA
4.17 V,602.00 mW,144.70 mA
4.17 V,600.00 mW,144.50 mA
4.17 V,602.00 mW,143.80 mA
4.16 V,602.00 mW,144.60 mA
4.17 V,602.00 mW,143.50 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,143.60 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,144.20 mA
4.16 V,600.00 mW,144.60 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,602.00 mW,144.40 mA
4.16 V,600.00 mW,144.30 mA
4.16 V,602.00 mW,144.10 mA
4.16 V,596.00 mW,143.60 mA
4.16 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,144.20 mA
4.16 V,602.00 mW,144.20 mA
4.17 V,602.00 mW,144.50 mA
4.17 V,600.00 mW,144.60 mA
4.17 V,600.00 mW,143.40 mA
4.16 V,600.00 mW,143.60 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,602.00 mW,144.60 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,144.40 mA
4.17 V,600.00 mW,143.80 mA
4.58 V,322.00 mW,71.60 mA
4.17 V,602.00 mW,143.90 mA
4.16 V,600.00 mW,144.50 mA
4.16 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,144.50 mA
4.17 V,606.00 mW,145.60 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,143.70 mA
4.17 V,600.00 mW,143.60 mA
4.17 V,596.00 mW,144.20 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,144.70 mA
4.16 V,596.00 mW,144.00 mA
4.17 V,602.00 mW,144.40 mA
4.17 V,602.00 mW,143.80 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,143.50 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,602.00 mW,144.80 mA
4.17 V,602.00 mW,144.60 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,143.70 mA
4.17 V,602.00 mW,144.10 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,144.30 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,602.00 mW,143.60 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,143.80 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,144.60 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,602.00 mW,144.00 mA
4.17 V,602.00 mW,144.30 mA
4.17 V,602.00 mW,144.00 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,602.00 mW,143.70 mA
4.17 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.20 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,602.00 mW,143.80 mA
4.17 V,596.00 mW,144.00 mA
4.17 V,600.00 mW,143.70 mA
4.16 V,602.00 mW,145.60 mA
4.17 V,602.00 mW,144.30 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,143.60 mA
4.16 V,600.00 mW,143.80 mA
4.17 V,600.00 mW,143.70 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,144.40 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,144.00 mA
4.17 V,602.00 mW,143.50 mA
4.17 V,600.00 mW,143.50 mA
4.16 V,602.00 mW,144.30 mA
4.17 V,600.00 mW,143.50 mA
4.16 V,600.00 mW,143.80 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,602.00 mW,144.00 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,602.00 mW,144.00 mA
4.16 V,600.00 mW,144.00 mA
4.16 V,602.00 mW,143.70 mA
4.17 V,600.00 mW,143.60 mA
4.17 V,600.00 mW,143.40 mA
4.16 V,600.00 mW,144.20 mA
4.17 V,602.00 mW,144.20 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,144.50 mA
4.17 V,602.00 mW,144.10 mA
4.16 V,600.00 mW,143.70 mA
4.17 V,602.00 mW,143.60 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,143.70 mA
4.16 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,143.70 mA
4.17 V,602.00 mW,144.40 mA
4.17 V,602.00 mW,144.20 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,143.70 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,143.70 mA
4.17 V,602.00 mW,144.30 mA
4.17 V,602.00 mW,144.30 mA
4.17 V,602.00 mW,144.00 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,144.10 mA
4.16 V,602.00 mW,144.20 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,602.00 mW,144.40 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,602.00 mW,144.40 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,602.00 mW,143.70 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,602.00 mW,144.10 mA
4.17 V,600.00 mW,144.00 mA
4.16 V,602.00 mW,144.20 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,144.00 mA
4.16 V,602.00 mW,144.20 mA
4.17 V,602.00 mW,144.40 mA
4.17 V,602.00 mW,144.20 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,600.00 mW,144.40 mA
4.16 V,602.00 mW,144.70 mA
4.17 V,596.00 mW,143.90 mA
4.17 V,600.00 mW,143.70 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,144.30 mA
4.17 V,602.00 mW,143.70 mA
4.17 V,600.00 mW,143.80 mA
4.16 V,600.00 mW,143.70 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,143.60 mA
4.17 V,600.00 mW,143.40 mA
4.17 V,602.00 mW,143.90 mA
4.17 V,602.00 mW,144.60 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,144.10 mA
4.16 V,602.00 mW,144.00 mA
4.58 V,322.00 mW,70.40 mA
4.16 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,143.50 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,602.00 mW,144.40 mA
4.17 V,602.00 mW,144.40 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,143.70 mA
4.16 V,600.00 mW,143.60 mA
4.16 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,602.00 mW,144.30 mA
4.16 V,602.00 mW,144.30 mA
4.17 V,600.00 mW,144.70 mA
4.16 V,602.00 mW,144.60 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.80 mA
4.17 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.50 mA
4.17 V,602.00 mW,143.80 mA
4.16 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,144.30 mA
4.16 V,602.00 mW,144.60 mA
4.17 V,600.00 mW,144.70 mA
4.17 V,602.00 mW,143.90 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,143.60 mA
4.16 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,144.50 mA
4.17 V,602.00 mW,144.00 mA
4.16 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,143.40 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,144.60 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.50 mA
4.17 V,600.00 mW,143.80 mA
4.16 V,600.00 mW,144.00 mA
4.16 V,602.00 mW,144.10 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.50 mA
4.17 V,602.00 mW,144.10 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,143.90 mA
4.17 V,596.00 mW,144.20 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,144.30 mA
4.16 V,602.00 mW,144.60 mA
4.17 V,600.00 mW,144.70 mA
4.17 V,602.00 mW,144.40 mA
4.16 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,144.60 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,144.50 mA
4.17 V,602.00 mW,143.70 mA
4.16 V,600.00 mW,144.70 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,602.00 mW,144.40 mA
4.17 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.40 mA
4.16 V,600.00 mW,144.90 mA
4.17 V,600.00 mW,143.70 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,602.00 mW,144.40 mA
4.16 V,600.00 mW,144.70 mA
4.16 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.40 mA
4.16 V,600.00 mW,144.50 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,602.00 mW,144.50 mA
4.17 V,602.00 mW,144.40 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,143.50 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,602.00 mW,144.00 mA
4.17 V,600.00 mW,144.40 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.90 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.60 mA
4.17 V,600.00 mW,144.90 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,143.70 mA
4.16 V,600.00 mW,144.40 mA
4.16 V,602.00 mW,144.60 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,602.00 mW,144.80 mA
4.16 V,602.00 mW,144.20 mA
4.17 V,602.00 mW,144.10 mA
4.17 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,144.00 mA
4.16 V,596.00 mW,143.90 mA
4.16 V,600.00 mW,143.50 mA
4.16 V,600.00 mW,144.50 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,144.50 mA
4.16 V,602.00 mW,144.20 mA
4.17 V,600.00 mW,144.80 mA
4.16 V,600.00 mW,143.80 mA
4.17 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,602.00 mW,144.60 mA
4.16 V,600.00 mW,144.40 mA
4.17 V,600.00 mW,144.20 mA
4.58 V,324.00 mW,70.70 mA
4.16 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,143.80 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,602.00 mW,144.10 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,143.70 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.10 mA
4.17 V,600.00 mW,143.70 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,600.00 mW,144.40 mA
4.16 V,602.00 mW,144.40 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,602.00 mW,144.00 mA
4.17 V,600.00 mW,143.90 mA
4.16 V,602.00 mW,144.00 mA
4.17 V,600.00 mW,143.90 mA
4.17 V,602.00 mW,144.00 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,602.00 mW,144.10 mA
4.17 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,144.10 mA
4.16 V,602.00 mW,144.70 mA
4.16 V,600.00 mW,144.30 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.40 mA
4.16 V,600.00 mW,143.90 mA
4.17 V,602.00 mW,144.30 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,600.00 mW,144.20 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,143.70 mA
4.17 V,600.00 mW,143.60 mA
4.16 V,600.00 mW,143.90 mA
4.17 V,600.00 mW,143.60 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.30 mA
4.17 V,602.00 mW,143.70 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.00 mA
4.17 V,602.00 mW,143.70 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,143.70 mA
4.17 V,600.00 mW,144.40 mA
4.16 V,602.00 mW,144.30 mA
4.16 V,602.00 mW,144.50 mA
4.17 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,143.70 mA
4.16 V,600.00 mW,143.70 mA
4.17 V,600.00 mW,144.00 mA
4.17 V,602.00 mW,144.00 mA
4.17 V,602.00 mW,144.20 mA
4.16 V,602.00 mW,144.60 mA
4.16 V,600.00 mW,144.00 mA
4.17 V,602.00 mW,143.90 mA
4.16 V,600.00 mW,143.90 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.10 mA
4.16 V,600.00 mW,144.00 mA
4.16 V,600.00 mW,144.50 mA
4.16 V,600.00 mW,145.30 mA
4.17 V,600.00 mW,144.20 mA
4.16 V,600.00 mW,144.60 mA
4.17 V,602.00 mW,143.90 mA
4.16 V,596.00 mW,144.30 mA
4.17 V,600.00 mW,143.60 mA
